transportadora,cnpj,codigo,rota,cidade,razao_social,nome_mapa,latitude,longitude,codigo_ibge,tipo_match,fonte_coordenada
BRASPRESS IPN,02.285.025/0001-04,628,2,CACHOEIRO DE ITAPEMIRIM,DROGARIA SAO CIPRIANO LTDA,Cachoeiro de Itapemirim,-20.8462,-41.1198,3201209,município,Base Municipios-Brasileiros
BRASPRESS IPN,09.046.237/0001-88,1494,2,CAETANOS,ALT COMERCIO DE PRODUTOS FARMACEUTICOS E PERFUMARIA LTDA,Caetanos,-14.3347,-40.9175,2905156,município,Base Municipios-Brasileiros
BRASPRESS IPN,29.099.568/0001-93,1512,2,CAETE,LIDER SBX DROGARIAS LTDA,Caeté,-19.8826,-43.6704,3110004,mapa anterior,Base Municipios-Brasileiros (código IBGE e coordenadas municipais)
BRASPRESS IPN,52.523.158/0001-40,1587,2,CAFARNAUM,FARMACIA DO DOUTOR LTDA,Cafarnaum,-11.6914,-41.4688,2905305,município,Base Municipios-Brasileiros
BRASPRESS IPN,45.663.025/0001-03,1764,2,CAIEIRAS,J&L PRODUTOS FARMACEUTICOS LTDA,Caieiras,-23.3607,-46.7397,3509007,município,Base Municipios-Brasileiros
BRASPRESS IPN,46.235.084/0002-24,1701,2,CAJAMAR,BIFARMA,Cajamar,-23.355,-46.8781,3509205,município,Base Municipios-Brasileiros
BRASPRESS IPN,35.723.176/0001-56,175,2,CAJATI,DROGARIA CENTERFARMA DE CAJATI LTDA 1496,Cajati,-24.7324,-48.1223,3509254,município,Base Municipios-Brasileiros
BRASPRESS IPN,44.692.111/0001-81,563,2,CAMPO FORMOSO,DROGARIA A FORMULA LTDA,Campo Formoso,-10.5105,-40.32,2906006,município,Base Municipios-Brasileiros
BRASPRESS IPN,28.298.620/0007-63,,2,CAMPO LIMPO PAULISTA,ENZO FARMA LTDA,Campo Limpo Paulista,-23.2078,-46.7889,3509601,município,Base Municipios-Brasileiros
BRASPRESS IPN,28.298.620/0006-82,1857,2,CAMPO LIMPO PAULISTA,ENZO FARMA LTDA,Campo Limpo Paulista,-23.2078,-46.7889,3509601,município,Base Municipios-Brasileiros
BRASPRESS IPN,14.853.200/0001-00,49,2,CANANEIA,RAEL HS COMERCIO DE MEDICAMENTOS LTDA,Cananéia,-25.0144,-47.9341,3509908,município,Base Municipios-Brasileiros
BRASPRESS IPN,54.262.290/0001-70,50,2,CANANEIA,REGIFARMA HS COMERCIO DE MEDICAMENTOS LTDA,Cananéia,-25.0144,-47.9341,3509908,município,Base Municipios-Brasileiros
BRASPRESS IPN,57.023.093/0001-97,1726,2,CAPELINHA,DROGARIA CAPELINHA,Capelinha,-17.6888,-42.5147,3112307,município,Base Municipios-Brasileiros
BRASPRESS IPN,07.020.362/0001-93,173,2,CAPELINHA,DROGARIA CAPELINHA LTDA,Capelinha,-17.6888,-42.5147,3112307,município,Base Municipios-Brasileiros
BRASPRESS IPN,07.020.362/0002-74,1940,2,CAPELINHA,DROGARIA CAPELINHA LTDA,Capelinha,-17.6888,-42.5147,3112307,município,Base Municipios-Brasileiros
BRASPRESS IPN,25.735.143/0001-72,444,2,CAPELINHA,DROGARIA SOMA LTDA,Capelinha,-17.6888,-42.5147,3112307,município,Base Municipios-Brasileiros
BRASPRESS IPN,44.968.784/0001-11,655,2,CAPELINHA,GE FARMA LTDA,Capelinha,-17.6888,-42.5147,3112307,município,Base Municipios-Brasileiros
BRASPRESS IPN,19.281.905/0001-05,271,2,CAPITAO ANDRADE,DROGARIA MAGNUS LTDA ME,Capitão Andrade,-19.0748,-41.8614,3112653,município,Base Municipios-Brasileiros
BRASPRESS IPN,08.343.566/0001-28,295,2,CAPITAO ENEIAS,DROGARIA E PERFUMARIA CAPITÃO ENEIAS,Capitão Enéas,-16.3265,-43.7084,3112703,grafia alternativa,Base Municipios-Brasileiros
BRASPRESS IPN,12.118.973/0001-09,415,2,CAPITAO ENEIAS,DROGARIA E PERFUMARIA IRMÃOS NOGUEIRA LTDA,Capitão Enéas,-16.3265,-43.7084,3112703,grafia alternativa,Base Municipios-Brasileiros
BRASPRESS IPN,22.318.479/0001-41,282,2,CARAI,DROGARIA KRETLE E MATOS LTDA ME,Caraí,-17.1862,-41.7004,3113008,município,Base Municipios-Brasileiros
BRASPRESS IPN,51.809.436/0001-67,1618,2,CARAPICUIBA,DROGARIA NOVA GERACAO DANTE CARRARO LTDA,Carapicuíba,-23.5235,-46.8407,3510609,município,Base Municipios-Brasileiros
BRASPRESS IPN,47.951.701/0001-70,1619,2,CARAPICUIBA,DROGARIA NOVA GERACAO LTDA,Carapicuíba,-23.5235,-46.8407,3510609,município,Base Municipios-Brasileiros
